word,frequency,rank
the,10656,1
and,8324,2
to,7324,3
of,5790,4
a,3649,5
i,3640,6
in,3581,7
he,3080,8
his,3021,9
you,2762,10
that,2656,11
with,2481,12
was,2384,13
for,2268,14
it,2220,15
not,2088,16
as,1961,17
but,1863,18
her,1845,19
all,1590,20
said,1472,21
be,1466,22
she,1455,23
at,1383,24
this,1369,25
had,1350,26
him,1318,27
is,1230,28
by,1219,29
my,1218,30
so,1178,31
from,1168,32
me,1162,33
they,1155,34
have,1123,35
or,1117,36
their,1031,37
what,1023,38
who,997,39
which,988,40
on,972,41
no,848,42
now,818,43
when,771,44
them,761,45
your,752,46
will,725,47
if,722,48
were,637,49
one,621,50
are,599,51
do,589,52
more,575,53
we,571,54
would,568,55
shall,556,56
out,548,57
then,532,58
up,525,59
good,516,60
upon,507,61
know,501,62
could,491,63
well,469,64
mr,458,65
how,446,66
thou,435,67
little,424,68
thy,418,69
into,415,70
there,397,71
some,397,71
us,395,72
these,394,73
our,387,74
man,386,75
than,382,76
can,373,77
see,368,78
been,366,79
such,366,79
here,365,80
though,362,81
heaven,361,82
very,358,83
thee,358,83
about,356,84
great,354,85
did,353,86
never,347,87
much,342,88
time,341,89
must,340,90
should,339,91
thus,338,92
day,334,93
yet,333,94
like,331,95
come,330,96
first,329,97
where,324,98
just,320,99
let,319,100
an,319,100
may,311,101
whom,310,102
go,305,103
down,301,104
dont,301,104
mrs,301,104
own,297,105
came,286,106
sir,284,107
say,282,108
father,280,109
before,280,109
am,278,110
nor,273,111
old,267,112
only,267,112
make,261,113
give,258,114
god,256,115
after,254,116
sure,253,117
has,241,118
other,240,119
susan,240,119
till,239,120
any,238,121
cried,238,121
made,238,121
himself,236,122
oh,236,122
thought,235,123
hand,234,124
might,232,125
think,232,125
why,231,126
heard,229,127
saw,227,128
way,225,129
ill,224,130
im,224,130
through,224,130
take,219,131
found,218,132
tell,215,133
without,213,134
earth,212,135
those,210,136
long,208,137
last,207,138
miss,202,139
look,201,140
things,200,141
soon,198,142
boy,194,143
went,194,143
over,190,144
stood,189,145
night,187,146
mother,186,147
off,185,148
many,184,149
high,182,150
world,182,150
still,180,151
too,178,152
love,178,152
two,177,153
find,175,154
back,174,155
round,174,155
better,172,156
ever,171,157
best,167,158
new,167,158
far,167,158
archer,166,159
each,166,159
while,166,159
most,165,160
work,165,160
its,163,161
left,162,162
nothing,161,163
head,161,163
house,160,164
lady,159,165
put,159,165
money,158,166
whose,157,167
poor,156,168
cecilia,154,169
son,154,169
both,153,170
hear,153,170
again,153,170
under,152,171
right,152,171
being,152,171
hope,151,172
once,151,172
done,150,173
door,149,174
lord,148,175
place,147,176
voice,147,176
maam,146,177
francisco,145,178
yes,145,178
because,144,179
morning,142,180
hell,142,180
mind,142,180
indeed,142,180
piedro,140,181
arthur,140,181
life,140,181
hands,140,181
another,138,182
eyes,137,183
young,137,183
thing,137,183
part,136,184
death,136,184
mean,135,185
dear,134,186
o,133,187
looked,132,188
fair,132,188
going,131,189
ye,131,189
knew,130,190
next,130,190
since,129,191
light,127,192
friend,126,193
away,126,193
told,126,193
always,124,194
gave,124,194
end,124,194
against,122,195
perhaps,121,196
wont,121,196
get,120,197
set,120,197
leave,120,197
please,120,197
want,120,197
power,119,198
half,119,198
speak,117,199
called,116,200
louisa,116,200
quite,116,200
replied,115,201
enough,115,201
words,115,201
herself,115,201
hath,114,202
happy,114,202
cant,114,202
took,113,203
something,112,204
air,112,204
children,111,205
jem,111,205
word,111,205
people,111,205
every,110,206
name,110,206
full,110,206
wish,109,207
got,108,208
talbot,107,209
heart,107,209
home,106,210
ask,106,210
began,105,211
few,104,212
less,104,212
thats,104,212
call,104,212
leonora,103,213
none,103,213
same,103,213
men,103,213
brother,103,213
looking,102,214
friends,101,215
sight,101,215
room,100,216
lost,100,216
hal,100,216
else,99,217
seen,98,218
even,98,218
eve,98,218
rest,97,219
whole,97,219
evening,97,219
anything,97,219
forth,96,220
show,96,220
reason,95,221
rather,95,221
ground,95,221
de,94,222
whilst,94,222
adam,94,222
joy,94,222
ive,94,222
moment,94,222
turned,93,223
myself,93,223
woman,92,224
given,92,224
frederick,92,224
exclaimed,91,225
mary,91,225
pray,90,226
stand,89,227
pay,89,227
within,89,227
bring,89,227
face,89,227
live,88,228
above,88,228
land,88,228
seemed,88,228
matter,87,229
ran,87,229
brought,87,229
keep,86,230
side,86,230
honour,85,231
days,85,231
th,84,232
rory,84,232
attorney,84,232
case,84,232
passed,83,233
rose,83,233
hill,83,233
mistress,82,234
fear,82,234
eye,81,235
however,81,235
garden,81,235
bad,81,235
deep,80,236
truth,80,236
glad,79,237
believe,79,237
barbara,79,237
fruit,79,237
pleased,78,238
present,78,238
gentleman,78,238
open,78,238
sat,78,238
loveit,78,238
alone,78,238
wheeler,78,238
farmer,77,239
ben,77,239
business,77,239
fire,77,239
sent,77,239
others,77,239
cannot,77,239
afraid,77,239
boys,76,240
care,76,240
continued,75,241
amongst,75,241
theres,75,241
least,75,241
everybody,74,242
large,74,242
returned,74,242
companions,74,242
fine,74,242
length,74,242
hold,74,242
immediately,73,243
themselves,73,243
youll,73,243
vain,73,243
return,72,244
three,72,244
fisher,72,244
having,72,244
master,72,244
asked,72,244
answer,72,244
thoughts,72,244
heavens,72,244
gold,72,244
does,71,245
therefore,71,245
felt,71,245
late,71,245
evil,71,245
among,71,245
franklin,71,245
child,70,246
mine,70,246
gods,70,246
fall,70,246
coming,70,246
glory,70,246
arms,70,246
hour,70,246
nature,70,246
dark,69,247
satan,69,247
bright,69,247
either,69,247
appeared,69,247
fell,69,247
spirit,69,247
taste,69,247
spirits,69,247
